Date,description,balance,deposit,stocks,expenses,income
2021-07-30,deposit | Local Company,159146.18,5000.0,0.0,0.0,0.0
2021-08-01,credit card,152017.15,0.0,11714.75,14574.03,7445.0
2021-08-13,deposit | Local Company,157017.15,5000.0,0.0,0.0,0.0
2021-08-25,deposit | freelancing,157517.15,500.0,0.0,0.0,0.0
2021-08-27,deposit | Local Company,162517.15,5000.0,0.0,0.0,0.0
2021-09-01,credit card,158368.39,0.0,10954.27,17084.76,12936.0
2021-09-10,deposit | Local Company,163368.39,5000.0,0.0,0.0,0.0
2021-09-24,deposit | Local Company,168368.39,5000.0,0.0,0.0,0.0
2021-09-29,deposit | freelancing,168868.39,500.0,0.0,0.0,0.0
2021-10-01,credit card,169819.82,0.0,12559.51,12559.57,13511.0
2021-10-08,deposit | Local Company,174819.82,5000.0,0.0,0.0,0.0
2021-10-22,deposit | Local Company,179819.82,5000.0,0.0,0.0,0.0
2021-10-27,deposit | freelancing,180319.82,500.0,0.0,0.0,0.0
2021-11-01,credit card,177382.45,0.0,12833.09,14325.37,11388.0
2021-11-05,deposit | Local Company,182382.45,5000.0,0.0,0.0,0.0
2021-11-19,deposit | Local Company,187382.45,5000.0,0.0,0.0,0.0
2021-11-24,deposit | freelancing,187882.45,500.0,0.0,0.0,0.0
2021-12-01,credit card,192318.79,0.0,13262.6,9996.66,14433.0
2021-12-03,deposit | Local Company,197318.79,5000.0,0.0,0.0,0.0
2021-12-17,deposit | Local Company,202318.79,5000.0,0.0,0.0,0.0
2021-12-29,deposit | freelancing,202818.79,500.0,0.0,0.0,0.0
2021-12-31,deposit | Local Company,207818.79,5000.0,0.0,0.0,0.0
2022-01-01,credit card,197932.18,0.0,12470.96,20832.61,10946.0
2022-01-14,deposit | Local Company,202932.18,5000.0,0.0,0.0,0.0
2022-01-26,deposit | freelancing,203432.18,500.0,0.0,0.0,0.0
2022-01-28,deposit | Local Company,208432.18,5000.0,0.0,0.0,0.0
2022-02-01,credit card,199364.49,0.0,11927.04,20042.69,10975.0
2022-02-11,deposit | Local Company,204364.49,5000.0,0.0,0.0,0.0
2022-02-23,deposit | freelancing,204864.49,500.0,0.0,0.0,0.0
2022-02-25,deposit | Local Company,209864.49,5000.0,0.0,0.0,0.0
2022-03-01,credit card,202099.35,0.0,12412.87,21015.14,13250.0
2022-03-11,deposit | Local Company,207099.35,5000.0,0.0,0.0,0.0
2022-03-25,deposit | Local Company,212099.35,5000.0,0.0,0.0,0.0
2022-03-30,deposit | freelancing,212599.35,500.0,0.0,0.0,0.0
2022-04-01,credit card,199515.34,0.0,11182.62,21445.01,8361.0
2022-04-08,deposit | Local Company,204515.34,5000.0,0.0,0.0,0.0
2022-04-22,deposit | Local Company,209515.34,5000.0,0.0,0.0,0.0
2022-04-27,deposit | freelancing,210015.34,500.0,0.0,0.0,0.0
2022-05-01,credit card,201137.58,0.0,10845.0,21194.76,12317.0
2022-05-06,deposit | Local Company,206137.58,5000.0,0.0,0.0,0.0
2022-05-20,deposit | Local Company,211137.58,5000.0,0.0,0.0,0.0
2022-05-25,deposit | freelancing,211637.58,500.0,0.0,0.0,0.0
2022-06-01,credit card,200995.79,0.0,10190.13,21945.79,11304.0
2022-06-03,deposit | Local Company,205995.79,5000.0,0.0,0.0,0.0
2022-06-17,deposit | Local Company,210995.79,5000.0,0.0,0.0,0.0
2022-06-29,deposit | freelancing,211495.79,500.0,0.0,0.0,0.0
2022-07-01,credit card | deposit | Local Company,211366.95,5000.0,11395.61,16483.84,11355.0
2022-07-15,deposit | Local Company,216366.95,5000.0,0.0,0.0,0.0
2022-07-27,deposit | freelancing,216866.95,500.0,0.0,0.0,0.0
2022-07-29,deposit | Local Company,221866.95,5000.0,0.0,0.0,0.0
2022-08-01,credit card,211858.45,0.0,10728.73,21934.5,11926.0
2022-08-12,deposit | Local Company,216858.45,5000.0,0.0,0.0,0.0
2022-08-24,deposit | freelancing,217358.45,500.0,0.0,0.0,0.0
2022-08-26,deposit | Local Company,222358.45,5000.0,0.0,0.0,0.0
2022-09-01,credit card,216823.09,0.0,9538.46,17226.36,11691.0
2022-09-09,deposit | Local Company,221823.09,5000.0,0.0,0.0,0.0
2022-09-23,deposit | Local Company,226823.09,5000.0,0.0,0.0,0.0
2022-09-28,deposit | freelancing,227323.09,500.0,0.0,0.0,0.0
2022-10-01,credit card,218105.79,0.0,9814.01,16412.3,7195.0
2022-10-07,deposit | Local Company,223105.79,5000.0,0.0,0.0,0.0
2022-10-21,deposit | Local Company,228105.79,5000.0,0.0,0.0,0.0
2022-10-26,deposit | freelancing,228605.79,500.0,0.0,0.0,0.0
2022-11-01,credit card,214350.05,0.0,10383.0,19550.74,5295.0
2022-11-04,deposit | Local Company,219350.05,5000.0,0.0,0.0,0.0
2022-11-18,deposit | Local Company,224350.05,5000.0,0.0,0.0,0.0
2022-11-23,deposit | freelancing,224850.05,500.0,0.0,0.0,0.0
2022-12-01,credit card,217352.75,0.0,9602.21,11516.3,4019.0
2022-12-02,deposit | Local Company,222352.75,5000.0,0.0,0.0,0.0
2022-12-16,deposit | Local Company,227352.75,5000.0,0.0,0.0,0.0
2022-12-28,deposit | freelancing,227852.75,500.0,0.0,0.0,0.0
2022-12-30,deposit | Local Company,232852.75,5000.0,0.0,0.0,0.0
2023-01-01,credit card,223522.0,0.0,10119.96,19683.75,10353.0
2023-01-13,deposit | Local Company,228522.0,5000.0,0.0,0.0,0.0
2023-01-25,deposit | freelancing,229022.0,500.0,0.0,0.0,0.0
2023-01-27,deposit | Local Company,234022.0,5000.0,0.0,0.0,0.0
2023-02-01,credit card,225722.97,0.0,10228.75,16870.03,8571.0
2023-02-10,deposit | Local Company,230722.97,5000.0,0.0,0.0,0.0
2023-02-22,deposit | freelancing,231222.97,500.0,0.0,0.0,0.0
2023-02-24,deposit | Local Company,236222.97,5000.0,0.0,0.0,0.0
2023-03-01,credit card,227408.92,0.0,11741.15,16536.05,7722.0
2023-03-10,deposit | Local Company,232408.92,5000.0,0.0,0.0,0.0
2023-03-24,deposit | Local Company,237408.92,5000.0,0.0,0.0,0.0
2023-03-29,deposit | freelancing,237908.92,500.0,0.0,0.0,0.0
2023-04-01,credit card,225488.27,0.0,12393.51,16726.65,4306.0
2023-04-07,deposit | Local Company,230488.27,5000.0,0.0,0.0,0.0
2023-04-21,deposit | Local Company,235488.27,5000.0,0.0,0.0,0.0
2023-04-26,deposit | freelancing,235988.27,500.0,0.0,0.0,0.0
2023-05-01,credit card,229934.4,0.0,13164.85,18021.87,11968.0
2023-05-05,deposit | Local Company,234934.4,5000.0,0.0,0.0,0.0
2023-05-19,deposit | Local Company,239934.4,5000.0,0.0,0.0,0.0
2023-05-24,deposit | freelancing,240434.4,500.0,0.0,0.0,0.0
2023-06-01,credit card,232371.66,0.0,13879.85,15933.74,7871.0
2023-06-02,deposit | Local Company,237371.66,5000.0,0.0,0.0,0.0
2023-06-16,deposit | Local Company,242371.66,5000.0,0.0,0.0,0.0
2023-06-28,deposit | freelancing,242871.66,500.0,0.0,0.0,0.0
2023-06-30,deposit | Local Company,247871.66,5000.0,0.0,0.0,0.0
2023-07-01,credit card,234311.35,0.0,13792.65,18961.31,5401.0
2023-07-14,deposit | Local Company,239311.35,5000.0,0.0,0.0,0.0
2023-07-26,deposit | freelancing,239811.35,500.0,0.0,0.0,0.0
2023-07-28,deposit | Local Company,244811.35,5000.0,0.0,0.0,0.0
2023-08-01,credit card,235616.76,0.0,13382.29,17372.59,8178.0
2023-08-11,deposit | Local Company,240616.76,5000.0,0.0,0.0,0.0
2023-08-25,deposit | Local Company,245616.76,5000.0,0.0,0.0,0.0
2023-08-30,deposit | freelancing,246116.76,500.0,0.0,0.0,0.0
2023-09-01,credit card,232671.03,0.0,12722.86,21371.73,7926.0
2023-09-08,deposit | Local Company,237671.03,5000.0,0.0,0.0,0.0
2023-09-22,deposit | Local Company,242671.03,5000.0,0.0,0.0,0.0
2023-09-27,deposit | freelancing,243171.03,500.0,0.0,0.0,0.0
2023-10-01,credit card,233322.82,0.0,13374.98,14541.21,4693.0
2023-10-06,deposit | Local Company,238322.82,5000.0,0.0,0.0,0.0
2023-10-20,deposit | Local Company,243322.82,5000.0,0.0,0.0,0.0
2023-10-25,deposit | freelancing,243822.82,500.0,0.0,0.0,0.0
2023-11-01,credit card,235318.14,0.0,14960.69,19750.68,11246.0
2023-11-03,deposit | Local Company,240318.14,5000.0,0.0,0.0,0.0
2023-11-17,deposit | Local Company,245318.14,5000.0,0.0,0.0,0.0
2023-11-29,deposit | freelancing,245818.14,500.0,0.0,0.0,0.0
2023-12-01,credit card | deposit | Local Company,234070.63,5000.0,14954.55,20348.51,3601.0
2023-12-15,deposit | Local Company,239070.63,5000.0,0.0,0.0,0.0
2023-12-27,deposit | freelancing,239570.63,500.0,0.0,0.0,0.0
2023-12-29,deposit | Local Company,244570.63,5000.0,0.0,0.0,0.0
2024-01-01,credit card,230924.57,0.0,15431.21,24201.06,10555.0
2024-01-12,deposit | Local Company,235924.57,5000.0,0.0,0.0,0.0
2024-01-24,deposit | freelancing,236424.57,500.0,0.0,0.0,0.0
2024-01-26,deposit | Local Company,241424.57,5000.0,0.0,0.0,0.0
2024-02-01,credit card,228457.1,0.0,15834.43,22014.47,9047.0
2024-02-09,deposit | Local Company,233457.1,5000.0,0.0,0.0,0.0
2024-02-23,deposit | Local Company,238457.1,5000.0,0.0,0.0,0.0
2024-02-28,deposit | freelancing,238957.1,500.0,0.0,0.0,0.0
2024-03-01,credit card,229360.67,0.0,15887.64,16436.43,6840.0
2024-03-08,deposit | Local Company,234360.67,5000.0,0.0,0.0,0.0
2024-03-22,deposit | Local Company,239360.67,5000.0,0.0,0.0,0.0
2024-03-27,deposit | freelancing,239860.67,500.0,0.0,0.0,0.0
2024-04-01,credit card,237181.5,0.0,14933.48,15443.17,12764.0
2024-04-05,deposit | Local Company,242181.5,5000.0,0.0,0.0,0.0
2024-04-19,deposit | Local Company,247181.5,5000.0,0.0,0.0,0.0
2024-04-24,deposit | freelancing,247681.5,500.0,0.0,0.0,0.0
2024-05-01,credit card,236154.94,0.0,16134.23,15822.56,4296.0
2024-05-03,deposit | Local Company,241154.94,5000.0,0.0,0.0,0.0
2024-05-17,deposit | Local Company,246154.94,5000.0,0.0,0.0,0.0
2024-05-29,deposit | freelancing,246654.94,500.0,0.0,0.0,0.0
2024-05-31,deposit | Local Company,251654.94,5000.0,0.0,0.0,0.0
2024-06-01,credit card,238454.87,0.0,17472.68,22554.07,9354.0
2024-06-14,deposit | Local Company,243454.87,5000.0,0.0,0.0,0.0
2024-06-26,deposit | freelancing,243954.87,500.0,0.0,0.0,0.0
2024-06-28,deposit | Local Company,248954.87,5000.0,0.0,0.0,0.0
2024-07-01,credit card,239264.68,0.0,16850.48,23230.19,13540.0
2024-07-12,deposit | Local Company,244264.68,5000.0,0.0,0.0,0.0
2024-07-24,deposit | freelancing,244764.68,500.0,0.0,0.0,0.0
2024-07-26,deposit | Local Company,249764.68,5000.0,0.0,0.0,0.0
2024-08-01,credit card,233485.99,0.0,16952.11,22933.69,6655.0
2024-08-09,deposit | Local Company,238485.99,5000.0,0.0,0.0,0.0
2024-08-23,deposit | Local Company,243485.99,5000.0,0.0,0.0,0.0
2024-08-28,deposit | freelancing,243985.99,500.0,0.0,0.0,0.0
2024-09-01,credit card,238069.05,0.0,17451.22,19383.94,13467.0
2024-09-06,deposit | Local Company,243069.05,5000.0,0.0,0.0,0.0
2024-09-20,deposit | Local Company,248069.05,5000.0,0.0,0.0,0.0
2024-09-25,deposit | freelancing,248569.05,500.0,0.0,0.0,0.0
2024-10-01,credit card,242253.85,0.0,16596.93,19289.2,12974.0
2024-10-04,deposit | Local Company,247253.85,5000.0,0.0,0.0,0.0
2024-10-18,deposit | Local Company,252253.85,5000.0,0.0,0.0,0.0
2024-10-30,deposit | freelancing,252753.85,500.0,0.0,0.0,0.0
2024-11-01,credit card | deposit | Local Company,250727.35,5000.0,17333.75,15633.5,8607.0
2024-11-15,deposit | Local Company,255727.35,5000.0,0.0,0.0,0.0
2024-11-27,deposit | freelancing,256227.35,500.0,0.0,0.0,0.0
2024-11-29,deposit | Local Company,261227.35,5000.0,0.0,0.0,0.0
2024-12-01,credit card,256818.43,0.0,17566.58,10938.92,6530.0
2024-12-13,deposit | Local Company,261818.43,5000.0,0.0,0.0,0.0
2024-12-27,deposit | Local Company,266818.43,5000.0,0.0,0.0,0.0
