Date,description,balance,deposit,stocks,expenses,income
2021-07-30,deposit | Local Company,143335.65,5000.0,0.0,0.0,0.0
2021-08-01,credit card,136206.62,0.0,11714.75,14574.03,7445.0
2021-08-13,deposit | Local Company,141206.62,5000.0,0.0,0.0,0.0
2021-08-25,deposit | freelancing,141706.62,500.0,0.0,0.0,0.0
2021-08-27,deposit | Local Company,146706.62,5000.0,0.0,0.0,0.0
2021-09-01,credit card,142566.86,0.0,10954.27,17084.76,12945.0
2021-09-10,deposit | Local Company,147566.86,5000.0,0.0,0.0,0.0
2021-09-24,deposit | Local Company,152566.86,5000.0,0.0,0.0,0.0
2021-09-29,deposit | freelancing,153066.86,500.0,0.0,0.0,0.0
2021-10-01,credit card,154018.29,0.0,12559.51,12559.57,13511.0
2021-10-08,deposit | Local Company,159018.29,5000.0,0.0,0.0,0.0
2021-10-22,deposit | Local Company,164018.29,5000.0,0.0,0.0,0.0
2021-10-27,deposit | freelancing,164518.29,500.0,0.0,0.0,0.0
2021-11-01,credit card,160123.92,0.0,12833.09,14325.37,9931.0
2021-11-05,deposit | Local Company,165123.92,5000.0,0.0,0.0,0.0
2021-11-19,deposit | Local Company,170123.92,5000.0,0.0,0.0,0.0
2021-11-24,deposit | freelancing,170623.92,500.0,0.0,0.0,0.0
2021-12-01,credit card,173799.26,0.0,13262.6,9996.66,13172.0
2021-12-03,deposit | Local Company,178799.26,5000.0,0.0,0.0,0.0
2021-12-17,deposit | Local Company,183799.26,5000.0,0.0,0.0,0.0
2021-12-29,deposit | freelancing,184299.26,500.0,0.0,0.0,0.0
2021-12-31,deposit | Local Company,189299.26,5000.0,0.0,0.0,0.0
2022-01-01,credit card,179412.65,0.0,12470.96,20832.61,10946.0
2022-01-14,deposit | Local Company,184412.65,5000.0,0.0,0.0,0.0
2022-01-26,deposit | freelancing,184912.65,500.0,0.0,0.0,0.0
2022-01-28,deposit | Local Company,189912.65,5000.0,0.0,0.0,0.0
2022-02-01,credit card,178510.96,0.0,11927.04,20042.69,8641.0
2022-02-11,deposit | Local Company,183510.96,5000.0,0.0,0.0,0.0
2022-02-23,deposit | freelancing,184010.96,500.0,0.0,0.0,0.0
2022-02-25,deposit | Local Company,189010.96,5000.0,0.0,0.0,0.0
2022-03-01,credit card,180953.95,0.0,12412.87,21307.01,13250.0
2022-03-11,deposit | Local Company,185953.95,5000.0,0.0,0.0,0.0
2022-03-25,deposit | Local Company,190953.95,5000.0,0.0,0.0,0.0
2022-03-30,deposit | freelancing,191453.95,500.0,0.0,0.0,0.0
2022-04-01,credit card,176709.94,0.0,11182.62,21445.01,6701.0
2022-04-08,deposit | Local Company,181709.94,5000.0,0.0,0.0,0.0
2022-04-22,deposit | Local Company,186709.94,5000.0,0.0,0.0,0.0
2022-04-27,deposit | freelancing,187209.94,500.0,0.0,0.0,0.0
2022-05-01,credit card,178327.17,0.0,10845.0,21199.77,12317.0
2022-05-06,deposit | Local Company,183327.17,5000.0,0.0,0.0,0.0
2022-05-20,deposit | Local Company,188327.17,5000.0,0.0,0.0,0.0
2022-05-25,deposit | freelancing,188827.17,500.0,0.0,0.0,0.0
2022-06-01,credit card,176674.26,0.0,10190.13,23456.91,11304.0
2022-06-03,deposit | Local Company,181674.26,5000.0,0.0,0.0,0.0
2022-06-17,deposit | Local Company,186674.26,5000.0,0.0,0.0,0.0
2022-06-29,deposit | freelancing,187174.26,500.0,0.0,0.0,0.0
2022-07-01,credit card | deposit | Local Company,186260.49,5000.0,11395.62,17268.77,11355.0
2022-07-15,deposit | Local Company,191260.49,5000.0,0.0,0.0,0.0
2022-07-27,deposit | freelancing,191760.49,500.0,0.0,0.0,0.0
2022-07-29,deposit | Local Company,196760.49,5000.0,0.0,0.0,0.0
2022-08-01,credit card,184710.14,0.0,10728.73,21775.35,9725.0
2022-08-12,deposit | Local Company,189710.14,5000.0,0.0,0.0,0.0
2022-08-24,deposit | freelancing,190210.14,500.0,0.0,0.0,0.0
2022-08-26,deposit | Local Company,195210.14,5000.0,0.0,0.0,0.0
2022-09-01,credit card,186918.91,0.0,9538.46,16973.23,8682.0
2022-09-09,deposit | Local Company,191918.91,5000.0,0.0,0.0,0.0
2022-09-23,deposit | Local Company,196918.91,5000.0,0.0,0.0,0.0
2022-09-28,deposit | freelancing,197418.91,500.0,0.0,0.0,0.0
2022-10-01,credit card,188201.61,0.0,9814.01,16412.3,7195.0
2022-10-07,deposit | Local Company,193201.61,5000.0,0.0,0.0,0.0
2022-10-21,deposit | Local Company,198201.61,5000.0,0.0,0.0,0.0
2022-10-26,deposit | freelancing,198701.61,500.0,0.0,0.0,0.0
2022-11-01,credit card,184445.87,0.0,10383.0,19550.74,5295.0
2022-11-04,deposit | Local Company,189445.87,5000.0,0.0,0.0,0.0
2022-11-18,deposit | Local Company,194445.87,5000.0,0.0,0.0,0.0
2022-11-23,deposit | freelancing,194945.87,500.0,0.0,0.0,0.0
2022-12-01,credit card,187448.57,0.0,9602.21,11516.3,4019.0
2022-12-02,deposit | Local Company,192448.57,5000.0,0.0,0.0,0.0
2022-12-16,deposit | Local Company,197448.57,5000.0,0.0,0.0,0.0
2022-12-28,deposit | freelancing,197948.57,500.0,0.0,0.0,0.0
2022-12-30,deposit | Local Company,202948.57,5000.0,0.0,0.0,0.0
2023-01-01,credit card,191344.91,0.0,10119.96,19101.66,7498.0
2023-01-13,deposit | Local Company,196344.91,5000.0,0.0,0.0,0.0
2023-01-25,deposit | freelancing,196844.91,500.0,0.0,0.0,0.0
2023-01-27,deposit | Local Company,201844.91,5000.0,0.0,0.0,0.0
2023-02-01,credit card,197951.88,0.0,10228.75,16870.03,12977.0
2023-02-10,deposit | Local Company,202951.88,5000.0,0.0,0.0,0.0
2023-02-22,deposit | freelancing,203451.88,500.0,0.0,0.0,0.0
2023-02-24,deposit | Local Company,208451.88,5000.0,0.0,0.0,0.0
2023-03-01,credit card,200297.27,0.0,11741.15,15420.61,7266.0
2023-03-10,deposit | Local Company,205297.27,5000.0,0.0,0.0,0.0
2023-03-24,deposit | Local Company,210297.27,5000.0,0.0,0.0,0.0
2023-03-29,deposit | freelancing,210797.27,500.0,0.0,0.0,0.0
2023-04-01,credit card,198376.62,0.0,12393.51,16726.65,4306.0
2023-04-07,deposit | Local Company,203376.62,5000.0,0.0,0.0,0.0
2023-04-21,deposit | Local Company,208376.62,5000.0,0.0,0.0,0.0
2023-04-26,deposit | freelancing,208876.62,500.0,0.0,0.0,0.0
2023-05-01,credit card,202342.75,0.0,13164.85,18021.87,11488.0
2023-05-05,deposit | Local Company,207342.75,5000.0,0.0,0.0,0.0
2023-05-19,deposit | Local Company,212342.75,5000.0,0.0,0.0,0.0
2023-05-24,deposit | freelancing,212842.75,500.0,0.0,0.0,0.0
2023-06-01,credit card,203428.36,0.0,13879.85,17285.39,7871.0
2023-06-02,deposit | Local Company,208428.36,5000.0,0.0,0.0,0.0
2023-06-16,deposit | Local Company,213428.36,5000.0,0.0,0.0,0.0
2023-06-28,deposit | freelancing,213928.36,500.0,0.0,0.0,0.0
2023-06-30,deposit | Local Company,218928.36,5000.0,0.0,0.0,0.0
2023-07-01,credit card,204279.42,0.0,13792.65,21384.94,6736.0
2023-07-14,deposit | Local Company,209279.42,5000.0,0.0,0.0,0.0
2023-07-26,deposit | freelancing,209779.42,500.0,0.0,0.0,0.0
2023-07-28,deposit | Local Company,214779.42,5000.0,0.0,0.0,0.0
2023-08-01,credit card,205584.83,0.0,13382.29,17372.59,8178.0
2023-08-11,deposit | Local Company,210584.83,5000.0,0.0,0.0,0.0
2023-08-25,deposit | Local Company,215584.83,5000.0,0.0,0.0,0.0
2023-08-30,deposit | freelancing,216084.83,500.0,0.0,0.0,0.0
2023-09-01,credit card,202324.48,0.0,12722.86,21686.35,7926.0
2023-09-08,deposit | Local Company,207324.48,5000.0,0.0,0.0,0.0
2023-09-22,deposit | Local Company,212324.48,5000.0,0.0,0.0,0.0
2023-09-27,deposit | freelancing,212824.48,500.0,0.0,0.0,0.0
2023-10-01,credit card,207536.27,0.0,13374.98,14541.21,9253.0
2023-10-06,deposit | Local Company,212536.27,5000.0,0.0,0.0,0.0
2023-10-20,deposit | Local Company,217536.27,5000.0,0.0,0.0,0.0
2023-10-25,deposit | freelancing,218036.27,500.0,0.0,0.0,0.0
2023-11-01,credit card,210063.18,0.0,14960.69,18997.09,11024.0
2023-11-03,deposit | Local Company,215063.18,5000.0,0.0,0.0,0.0
2023-11-17,deposit | Local Company,220063.18,5000.0,0.0,0.0,0.0
2023-11-29,deposit | freelancing,220563.18,500.0,0.0,0.0,0.0
2023-12-01,credit card | deposit | Local Company,210411.06,5000.0,14954.54,18753.12,3601.0
2023-12-15,deposit | Local Company,215411.06,5000.0,0.0,0.0,0.0
2023-12-27,deposit | freelancing,215911.06,500.0,0.0,0.0,0.0
2023-12-29,deposit | Local Company,220911.06,5000.0,0.0,0.0,0.0
2024-01-01,credit card,206946.01,0.0,15431.21,24548.05,10583.0
2024-01-12,deposit | Local Company,211946.01,5000.0,0.0,0.0,0.0
2024-01-24,deposit | freelancing,212446.01,500.0,0.0,0.0,0.0
2024-01-26,deposit | Local Company,217446.01,5000.0,0.0,0.0,0.0
2024-02-01,credit card,207585.44,0.0,15834.43,20334.57,10474.0
2024-02-09,deposit | Local Company,212585.44,5000.0,0.0,0.0,0.0
2024-02-23,deposit | Local Company,217585.44,5000.0,0.0,0.0,0.0
2024-02-28,deposit | freelancing,218085.44,500.0,0.0,0.0,0.0
2024-03-01,credit card,208489.01,0.0,15887.64,16436.43,6840.0
2024-03-08,deposit | Local Company,213489.01,5000.0,0.0,0.0,0.0
2024-03-22,deposit | Local Company,218489.01,5000.0,0.0,0.0,0.0
2024-03-27,deposit | freelancing,218989.01,500.0,0.0,0.0,0.0
2024-04-01,credit card,216558.84,0.0,14933.48,15443.17,13013.0
2024-04-05,deposit | Local Company,221558.84,5000.0,0.0,0.0,0.0
2024-04-19,deposit | Local Company,226558.84,5000.0,0.0,0.0,0.0
2024-04-24,deposit | freelancing,227058.84,500.0,0.0,0.0,0.0
2024-05-01,credit card,215532.28,0.0,16134.23,15822.56,4296.0
2024-05-03,deposit | Local Company,220532.28,5000.0,0.0,0.0,0.0
2024-05-17,deposit | Local Company,225532.28,5000.0,0.0,0.0,0.0
2024-05-29,deposit | freelancing,226032.28,500.0,0.0,0.0,0.0
2024-05-31,deposit | Local Company,231032.28,5000.0,0.0,0.0,0.0
2024-06-01,credit card,218461.21,0.0,17472.68,22554.07,9983.0
2024-06-14,deposit | Local Company,223461.21,5000.0,0.0,0.0,0.0
2024-06-26,deposit | freelancing,223961.21,500.0,0.0,0.0,0.0
2024-06-28,deposit | Local Company,228961.21,5000.0,0.0,0.0,0.0
2024-07-01,credit card,219951.75,0.0,16850.48,23595.46,14586.0
2024-07-12,deposit | Local Company,224951.75,5000.0,0.0,0.0,0.0
2024-07-24,deposit | freelancing,225451.75,500.0,0.0,0.0,0.0
2024-07-26,deposit | Local Company,230451.75,5000.0,0.0,0.0,0.0
2024-08-01,credit card,214173.06,0.0,16952.11,22933.69,6655.0
2024-08-09,deposit | Local Company,219173.06,5000.0,0.0,0.0,0.0
2024-08-23,deposit | Local Company,224173.06,5000.0,0.0,0.0,0.0
2024-08-28,deposit | freelancing,224673.06,500.0,0.0,0.0,0.0
2024-09-01,credit card,219308.12,0.0,17451.22,19383.94,14019.0
2024-09-06,deposit | Local Company,224308.12,5000.0,0.0,0.0,0.0
2024-09-20,deposit | Local Company,229308.12,5000.0,0.0,0.0,0.0
2024-09-25,deposit | freelancing,229808.12,500.0,0.0,0.0,0.0
2024-10-01,credit card,221521.45,0.0,16596.93,21260.67,12974.0
2024-10-04,deposit | Local Company,226521.45,5000.0,0.0,0.0,0.0
2024-10-18,deposit | Local Company,231521.45,5000.0,0.0,0.0,0.0
2024-10-30,deposit | freelancing,232021.45,500.0,0.0,0.0,0.0
2024-11-01,credit card | deposit | Local Company,233150.85,5000.0,17333.75,16652.6,12782.0
2024-11-15,deposit | Local Company,238150.85,5000.0,0.0,0.0,0.0
2024-11-27,deposit | freelancing,238650.85,500.0,0.0,0.0,0.0
2024-11-29,deposit | Local Company,243650.85,5000.0,0.0,0.0,0.0
2024-12-01,credit card,239241.93,0.0,17566.58,10938.92,6530.0
2024-12-13,deposit | Local Company,244241.93,5000.0,0.0,0.0,0.0
2024-12-27,deposit | Local Company,249241.93,5000.0,0.0,0.0,0.0
